Parameter,Minimum,Maximum,Integer
epi.base_transmission_prob,0.1,0.9,0
epi.gamma_alpha,5,20,0
lhd.mean_compliance,0.1,1,0
population.wp_contacts,1,20,1
population.sch_contacts,1,20,1
population.cas_contacts,1,20,1
population.hh_weight,0.1,0.9,0
population.wp_weight,0.1,0.9,0
population.sch_weight,0.1,0.9,0
population.cas_weight,0.1,0.9,0
epi.incubation_period,1,20,0
epi.infectious_period,1,20,0
epi.vax_efficacy,0.01,0.99,0
epi.vax_uptake,0,0.99,0
lhd.p_detect_inf,0.01,0.99,0
lhd.lhd_daily_capacity,10,1000,1
